etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26 22:30:08.257386,009       ,2006-01-01 00:00:00,彰化商業銀行,67320.0,123891000000,39512.0,72282000000.0,0.0,0.0,1612.0,599000000.0,19160.0,9165000000.0
2013-11-26 22:30:08.259727,N016      ,2006-01-01 00:00:00,嘉義巿第四信用合作社,95.0,312000000.0,8.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.07236,161       ,2006-01-01 00:00:00,彰化第五信用合作社,531.0,858000000.0,11.0,15000000.0,0.0,0.0,0.0,0.0,17.0,6000000.0
2013-11-26 22:30:08.261707,099       ,2006-01-01 00:00:00,比利時商比利時聯合銀行,11.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.263765,050       ,2006-01-01 00:00:00,臺灣中小企業銀行,78176.0,123931000000,7783.0,13836000000.0,0.0,0.0,16401.0,8756000000.0,49134.0,30423000000.0
2013-11-26 22:30:07.984318,320       ,2006-01-01 00:00:00,法商佳信銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254976.0,1620000000.0
2013-11-26 22:30:08.000163,805       ,2006-01-01 00:00:00,遠東國際商業銀行,37827.0,79470000000.0,13123.0,24721000000.0,21070.0,4760000000.0,16758.0,5867000000.0,123492.0,16404000000.0
2013-11-26 22:30:08.026021,165       ,2006-01-01 00:00:00,彰化縣鹿港信用合作社,1066.0,1569000000.0,690.0,935000000.0,0.0,0.0,0.0,0.0,1081.0,263000000.0
2013-11-26 22:30:08.074395,025       ,2006-01-01 00:00:00,菲律賓首都銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,38000000.0
2013-11-26 22:30:08.265919,104       ,2006-01-01 00:00:00,台北市第五信用合作社,1324.0,3023000000.0,13.0,1000000.0,0.0,0.0,0.0,0.0,1646.0,399000000.0
