"國內各業生產及平減指數(2008SNA)-年 依 期間, 行業, 指標 與 種類"

" "," "," 國內生產毛額_當期價格(新台幣百萬元)"
" ","CC.紡織業",74645
" ","CD.成衣及服飾品製造業",25327
" ","CE.皮革、毛皮及其製品製造業",16988
" ","CF.木竹製品製造業",8965
" ","CG.紙漿、紙及紙製品製造業",38021
" ","CH.印刷及資料儲存媒體複製業",35670
" ","CI.石油及煤製品製造業",165201
" ","CJ.化學材料製造業",211811
" ","CK.化學製品製造業",52077
" ","CL.藥品及醫用化學製品製造業",37322
" ","CM.橡膠製品製造業",28103
" ","CN.塑膠製品製造業",80743
" ","CO.非金屬礦物製品製造業",129460
" ","CP.基本金屬製造業",169979
" ","CQ.金屬製品製造業",189448
" ","CR.電子零組件製造業",1104648
" ","CS.電腦、電子產品及光學製品製造業",420703
" ","CT.電力設備製造業",104198
" ","CU.機械設備製造業",158107
" ","CV.汽車及其零件製造業",89476
" ","CW.其他運輸工具及其零件製造業",73328
" ","CX.家具製造業",14362
" ","CY.其他製造業",90366
" ","D.電力及燃氣供應業",187971
" ","DA.電力供應業",170619
" ","DB.氣體燃料供應業",17352
" ","E.用水供應及污染整治業",88880
" ","EA.用水供應業",20946
" ","EB.污染整治業",67934
" ","F.營造業",318130
" ","G.批發及零售業",2180030
" ","GA.批發業",1327304
" ","GB.零售業",852726
" ","H.運輸及倉儲業",357779
" ","HA.陸上運輸業",166416
" ","HB.水上運輸業",10720
" ","HC.航空運輸業",39468
" ","HD.運輸輔助及倉儲業",112850
" ","HE.郵政及快遞業",28325
" ","I.住宿及餐飲業",280548
" ","IA住宿服務業",44941
" ","IB.餐飲業",235607
" ","J.資訊及通訊傳播業",440195
" ","JA.傳播業",108492
" ","JB.電信業",221830
" ","JC.資訊業",109873
" ","K.金融及保險業",797605
" ","KA.金融中介業",477387
" ","KB.保險業",211844
" ","KC.證券期貨及其他金融業",108374
" ","L.不動產及住宅服務業",1161762
" ","LA.不動產業",183094
" ","LB.住宅服務",978668
" ","M.專業、科學及技術服務業",287944
" ","N.支援服務業",180568
" ","NA.租賃業",38699
" ","NB.其他支援服務業",141869
" ","O.公共行政及國防；強制性社會安全",994245
" ","P.教育服務業",642711
" ","Q.醫療保健及社會工作服務業",383452
" ","QA.醫療保健服務業",354495
" ","QB.社會工作服務業",28957
" ","R.藝術、娛樂及休閒服務業",111460
" ","S.其他服務業",353271
" ","SA.宗教、職業及類似組織",61294
" ","SB.家事服務業",92821
" ","SC.未分類其他服務業",199156
" ","合 計",12483079
" ","進口稅",117195
" ","加值型營業稅",206405
" ","總 計(生產面)",12806679
" ","統計差異",154977
" ","GDP",12961656
" ","按三級產業分:農業",215109
" ","按三級產業分:工業",4096400
" ","按三級產業分:服務業",8495170
" ","補充項目:ICT產業",1857054
"2010"
" ","A.農、林、漁、牧業",224828
" ","AA.農耕業",158291
" ","AB.畜牧業",30160
" ","AC.林業",1604
" ","AD.漁業",34773
" ","B.礦業及土石採取業",18415
" ","C.製造業",4122165
" ","CA.食品製造業",98409
" ","CB.飲料及菸草製造業",74832
" ","CC.紡織業",82438
" ","CD.成衣及服飾品製造業",28338
" ","CE.皮革、毛皮及其製品製造業",17579
" ","CF.木竹製品製造業",9558
" ","CG.紙漿、紙及紙製品製造業",51002
" ","CH.印刷及資料儲存媒體複製業",38593
" ","CI.石油及煤製品製造業",152300
