101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
大安區,合　計,108116,190275097,1760,859,421,1770,9966.32,566.3
中正區,南門里,941,1598396,1699,871,415,1721,4162.87,245.07
中正區,龍興里,1196,1381820,1155,795,422,1454,1382.68,119.67
中正區,愛國里,1154,1410887,1223,774,417,1447,1843.65,150.8
中正區,龍光里,1203,1604657,1334,899,455,1708,1572.52,117.89
中正區,河堤里,1652,1931602,1169,778,426,1448,1702.48,145.6
中正區,龍福里,2131,2759523,1295,919,451,1699,1427.13,110.21
中正區,螢雪里,1531,1466633,958,652,377,1218,1001.7,104.57
中正區,永昌里,1485,1297599,874,614,346,1108,1021.11,116.86
中正區,文盛里,952,1189659,1250,830,411,1592,1357.24,108.61
中正區,忠勤里,1742,1239334,711,535,322,898,622.28,87.47
中正區,永功里,2077,2295019,1105,711,391,1311,2659.43,240.68
中正區,螢圃里,1947,2110519,1084,679,378,1317,1667.68,153.85
中正區,幸市里,1788,3614213,2021,877,416,1845,4592.86,227.21
中正區,文祥里,2700,4218465,1562,1009,449,2038,1878.74,120.25
中正區,黎明里,1097,1614904,1472,848,432,1603,3951.84,268.45
中正區,建國里,501,760340,1518,923,421,1822,2038.87,134.34
中正區,光復里,1244,1999824,1608,738,404,1399,7621.48,474.1
中正區,東門里,1445,6483622,4487,863,429,1796,107839.58,2403.41
中正區,板溪里,1203,1336356,1111,761,406,1408,1204.51,108.43
中正區,文北里,2111,5277216,2500,982,451,2127,11007.19,440.31
中正區,梅花里,1308,1891372,1446,820,407,1598,2927.81,202.48
中正區,廈安里,1310,1541974,1177,764,429,1487,1390.74,118.15
中正區,網溪里,2052,2360627,1150,761,398,1428,1311.17,113.97
中正區,林興里,1543,1916982,1242,793,399,1524,1889.98,152.13
中正區,幸福里,1671,2469795,1478,840,418,1641,2752.18,186.21
中正區,水源里,1065,1122484,1054,695,392,1266,1380.44,130.97
中正區,富水里,815,1005573,1234,757,389,1504,1551.55,125.75
中正區,頂東里,2207,2660895,1206,791,423,1506,1464.77,121.49
中正區,新營里,3026,5019740,1659,1070,514,2062,2670.82,161
中正區,南福里,3376,5262584,1559,996,490,1980,2305.33,147.89
中正區,三愛里,3049,6019581,1974,886,413,1875,17314.08,876.98
中正區,其　他,202,259606,1285,552,270,1272,2497.57,194.34
中正區,合　計,51724,77121801,1491,809,414,1598,18793.58,1260.45
萬華區,柳鄉里,1432,1093486,764,543,330,912,1019.66,133.53
萬華區,雙園里,1422,1343159,945,622,351,1098,1194.83,126.5
萬華區,糖廍里,1697,1489721,878,609,356,1066,960.22,109.38
萬華區,西門里,1218,1193777,980,637,356,1049,2646,269.97
萬華區,仁德里,1676,1899637,1133,668,371,1360,1671.47,147.47
萬華區,新起里,2249,2445848,1088,648,367,1209,2970.68,273.16
萬華區,日善里,1092,866042,793,597,362,1050,688.13,86.77
萬華區,菜園里,1813,1570352,866,608,338,1017,1092.61,126.14
萬華區,頂碩里,2263,1986748,878,611,360,1050,1170.93,133.37
萬華區,福音里,1138,1435386,1261,626,343,1043,9005.01,713.93
萬華區,華中里,1764,1464814,830,590,352,1049,950.5,114.46
萬華區,青山里,1481,1230935,831,572,319,999,1088.68,130.98
萬華區,新和里,2471,2315014,937,661,369,1180,1069.65,114.17
萬華區,新安里,1668,1314444,788,546,338,984,853.39,108.29
萬華區,富民里,1460,1152824,790,568,334,1000,838.62,106.21
萬華區,富福里,1466,1589626,1084,613,336,1081,2713.6,250.26
萬華區,綠堤里,1028,700947,682,531,334,848,630.91,92.53
萬華區,忠貞里,1291,1037624,804,577,337,986,789.25,98.2
萬華區,日祥里,1567,1379647,880,610,376,1070,895.87,101.75
萬華區,忠德里,1227,971928,792,582,339,1038,708.03,89.38
萬華區,孝德里,940,735186,782,580,360,975,697.76,89.22
萬華區,保德里,986,962322,976,622,357,1093,1771.52,181.51
萬華區,全德里,1255,1175559,937,645,373,1131,1259.15,134.42
萬華區,興德里,1140,894783,785,598,344,977,723.85,92.22
萬華區,壽德里,1582,1404244,888,635,365,1100,861.08,97.01
萬華區,凌霄里,1016,784941,773,599,354,977,658.45,85.23
萬華區,和平里,1888,1373459,727,547,334,916,633.36,87.06
萬華區,騰雲里,969,909980,939,616,361,1139,1691.76,180.15
萬華區,榮德里,951,734819,773,593,345,990,674.62,87.31
萬華區,福星里,1519,1440711,948,615,361,1106,1270.96,134
萬華區,和德里,1664,1208972,727,532,332,916,685.48,94.35
萬華區,萬壽里,1051,1095151,1042,639,319,1155,1532.67,147.09
萬華區,銘德里,1399,1154052,825,601,344,1015,783.14,94.94
萬華區,華江里,2408,1872087,777,563,329,952,803.1,103.3
萬華區,錦德里,1579,1248565,791,588,336,974,845.18,106.89
萬華區,新忠里,938,785440,837,582,345,1079,838.5,100.14
萬華區,其　他,262,190674,728,484,299,875,856.02,117.62
萬華區,合　計,52970,46452903,877,598,346,1041,1848.43,210.78
大同區,建泰里,1326,1370783,1034,680,372,1244,1300.6,125.81
大同區,建明里,1244,1419838,1141,595,333,1162,3070.27,269
大同區,雙連里,2968,2776696,936,635,355,1139,1292.76,138.18
大同區,建功里,1422,1377405,969,619,348,1135,1831.16,189.04
大同區,景星里,760,555214,731,568,334,920,666.78,91.27
大同區,星明里,1885,2085258,1106,688,379,1259,1989.93,179.88
大同區,朝陽里,1430,1628668,1139,642,340,1205,2668.7,234.32
大同區,大有里,1715,1721888,1004,606,328,1154,1698.57,169.18
大同區,斯文里,1624,1491023,918,584,349,1067,1336,145.52
大同區,揚雅里,1122,1143346,1019,588,341,1055,2065.05,202.65
大同區,國順里,794,558208,703,528,334,851,631.64,89.84
大同區,國慶里,1476,1532891,1039,690,377,1340,1177.23,113.35
大同區,隆和里,933,868266,931,609,362,1076,1227.52,131.9
大同區,南芳里,1282,1173931,916,621,339,1104,1039.32,113.5
大同區,鄰江里,2001,1631385,815,576,339,1009,851.89,104.49
大同區,玉泉里,1104,1222315,1107,668,375,1179,2255.15,203.69
大同區,光能里,1644,1528727,930,618,353,1124,1238.47,133.19
大同區,重慶里,2213,2368670,1070,689,390,1277,1793.87,167.6
大同區,至聖里,2653,2515768,948,619,347,1109,1809.54,190.82
大同區,老師里,1772,1479872,835,600,354,1034,823.49,98.6
大同區,蓬萊里,1661,1710542,1030,634,362,1193,1542.92,149.82
大同區,民權里,2040,2359524,1157,720,397,1320,2710.78,234.37
大同區,文昌里,6,4940,823,513,328,877,864.82,105.04
大同區,延平里,1286,1588931,1236,602,330,1123,6621.66,535.92
大同區,永樂里,1965,2944596,1499,658,350,1212,7305.34,487.5
大同區,保安里,1272,1366530,1074,613,341,1072,3891.37,362.22
大同區,其　他,160,130390,815,423,251,834,1340.25,164.46
大同區,合　計,39758,40555607,1020,627,352,1145,2685.13,263.23
中山區,聚盛里,1349,1346876,998,600,333,1049,2896.18,290.07
中山區,大佳里,282,226529,803,512,304,938,927.6,115.47
中山區,恆安里,1555,1841548,1184,663,370,1205,4671.31,394.44
中山區,集英里,2252,2680976,1190,672,359,1247,4058.04,340.87
中山區,正守里,1227,1446594,1179,707,372,1335,1843.18,156.34
中山區,正義里,1636,1517062,927,608,336,1102,1248.23,134.61
中山區,新生里,1625,1450708,893,606,348,1093,962.67,107.83
中山區,松江里,2369,7428157,3136,735,386,1429,57769.95,1842.41
中山區,江山里,2810,3360526,1196,731,394,1403,1909.48,159.67
中山區,中山里,2169,2158074,995,630,344,1143,2152,216.29
中山區,成功里,2460,6788058,2759,1179,542,2545,8502.27,308.12
中山區,下埤里,2842,3196377,1125,703,391,1254,2210.58,196.55
中山區,中原里,1835,2157526,1176,708,377,1336,2672.56,227.3
中山區,新庄里,1613,1424684,883,607,354,1046,1464.88,165.85
中山區,江寧里,2629,3401578,1294,753,383,1516,2160.69,166.99
中山區,復華里,1738,2734456,1573,791,412,1698,3258.01,207.08
中山區,興亞里,2055,2798432,1362,715,377,1442,3510.99,257.83
中山區,朱園里,1724,3103342,1800,798,417,1510,5875.35,326.39
中山區,中央里,1286,1395359,1085,706,373,1281,1525.59,140.6
中山區,新福里,1740,1632987,938,625,342,1114,2319.56,247.16
中山區,中庄里,1714,1607612,938,623,332,1121,1388.37,148.03
中山區,康樂里,940,1149103,1222,693,345,1292,3620.81,296.19
中山區,行政里,1944,1945533,1001,652,346,1158,2509.86,250.79
中山區,聚葉里,1313,1347068,1026,653,363,1195,1746.3,170.21
中山區,正得里,1375,1964469,1429,676,363,1359,5853.02,409.67
中山區,中吉里,2051,2995754,1461,775,400,1522,3508.68,240.22
中山區,新喜里,1823,1831716,1005,623,365,1142,3095.99,308.13
中山區,埤頭里,1295,1379631,1065,672,381,1201,2444.02,229.41
中山區,大直里,3344,4123456,1233,768,415,1520,1861.66,150.98
中山區,劍潭里,1161,1293659,1114,731,404,1297,1826.34,163.91
