101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
士林區,德華里,1878,2009915,1070,684,368,1253,3403.08,317.97
士林區,天山里,2472,3515864,1422,790,394,1632,2430.63,170.9
士林區,臨溪里,1066,2342041,2197,828,425,1739,5311.51,241.76
士林區,其　他,357,292299,819,484,265,889,1124.6,137.35
士林區,合　計,90266,118918018,1317,689,383,1309,8746.91,663.94
北投區,湖山里,523,689767,1319,614,375,1130,7100.61,538.39
北投區,永欣里,2853,5845914,2049,1059,492,2352,5348.9,261.04
北投區,泉源里,658,664402,1010,584,359,1068,2468.2,244.44
北投區,一德里,2128,2076390,976,629,356,1133,1416.09,145.13
北投區,關渡里,3421,3437669,1005,641,366,1161,1732.24,172.38
北投區,桃源里,1897,1741796,918,609,368,1136,1304.82,142.11
北投區,文化里,1372,1553759,1132,868,434,1531,1160.06,102.44
北投區,永和里,3062,4596960,1501,813,413,1614,3897.72,259.62
北投區,立農里,2898,2844690,982,670,378,1267,1136.42,115.77
北投區,清江里,2570,2305736,897,621,356,1083,1220.53,136.04
北投區,八仙里,1768,1860333,1052,647,383,1257,1378.97,131.05
北投區,洲美里,607,475581,783,554,333,953,794.68,101.43
北投區,中和里,1691,1725134,1020,671,377,1200,1308.55,128.27
北投區,開明里,2117,2570956,1214,678,374,1295,3563.91,293.46
北投區,長安里,1870,1746423,934,631,355,1128,1127.79,120.76
北投區,大同里,1934,2110861,1091,649,368,1287,1769.08,162.09
北投區,福興里,2293,2320753,1012,684,395,1315,1117.06,110.37
北投區,石牌里,1849,1831959,991,681,400,1230,1336.95,134.94
北投區,奇岩里,3191,5872618,1840,696,373,1340,32771.28,1780.69
北投區,稻香里,1579,1461138,925,629,367,1123,1237.13,133.69
北投區,中央里,2802,3006807,1073,692,380,1266,1602.58,149.34
北投區,溫泉里,2192,2206838,1007,661,381,1228,1272.33,126.38
北投區,立賢里,1792,1687347,942,649,367,1208,954.73,101.39
北投區,中心里,2112,2341365,1109,668,377,1271,1855.38,167.36
北投區,智仁里,1882,1638950,871,628,395,1137,763.69,87.69
北投區,吉利里,2216,2309619,1042,721,407,1357,1269.78,121.83
北投區,尊賢里,1504,1434199,954,673,397,1197,988.26,103.64
北投區,東華里,1455,1568597,1078,688,383,1317,1308.25,121.35
北投區,吉慶里,1660,1685899,1016,724,388,1303,1062.27,104.6
北投區,中庸里,1375,1282769,933,622,356,1108,1488.94,159.6
北投區,秀山里,1018,838646,824,592,356,1012,778.12,94.45
北投區,建民里,1331,1436550,1079,692,391,1334,1254.22,116.21
北投區,榮光里,2316,2265841,978,683,387,1220,1121.28,114.61
北投區,裕民里,2622,3428292,1308,737,395,1400,2105.64,161.04
北投區,振華里,2679,3017743,1126,713,383,1399,1402.89,124.54
北投區,榮華里,2719,4468593,1643,848,438,1677,6179.88,376.03
北投區,豐年里,1399,1152844,824,604,361,1085,739.47,89.74
北投區,林泉里,1025,898033,876,639,377,1147,830.94,94.84
北投區,永明里,1576,1855259,1177,782,434,1467,1215.05,103.22
北投區,文林里,1474,1660724,1127,740,399,1379,1430.47,126.96
北投區,大屯里,346,498508,1441,570,333,1059,5091.59,353.39
北投區,湖田里,249,271870,1092,589,340,1058,2723.02,249.4
北投區,其　他,151,111765,740,443,302,820,930.25,125.68
北投區,合　計,78176,88799898,1136,683,383,1285,7014.1,617.49
信義區,松友里,2281,2266367,994,710,400,1271,959.87,96.61
信義區,六藝里,1179,1119462,950,687,370,1234,921.82,97.08
信義區,中興里,1277,1546699,1211,774,389,1520,1550.48,128.01
信義區,永吉里,953,752690,790,576,328,980,851.62,107.83
信義區,敦厚里,1962,2123723,1082,744,415,1403,1160.24,107.19
信義區,大道里,2182,2182465,1000,675,393,1256,1054.06,105.38
信義區,安康里,3769,12991042,3447,978,459,2113,21511.16,624.09
信義區,嘉興里,1174,1236708,1053,670,370,1196,2556.2,242.66
信義區,五全里,1743,1878486,1078,657,372,1216,2298.15,213.24
信義區,新仁里,1235,1617879,1310,885,423,1658,1523.81,116.32
信義區,正和里,1650,2189596,1327,789,391,1589,2039.05,153.66
信義區,惠安里,2189,2139872,978,673,390,1235,1058.76,108.31
信義區,三犁里,1884,4048662,2149,803,415,1746,9007.29,419.14
信義區,六合里,2399,3605971,1503,784,410,1587,5953.78,396.1
信義區,泰和里,2531,2392153,945,656,381,1168,1023.02,108.24
信義區,西村里,1682,1859226,1105,737,400,1431,1182.73,107
信義區,興隆里,1034,5877538,5684,828,394,1806,91986.83,1618.27
信義區,景新里,1820,5197186,2856,848,418,1830,17155.77,600.78
信義區,景聯里,1717,1922737,1120,716,372,1383,1612.93,144.03
信義區,景勤里,1314,1243520,946,680,382,1210,1016.16,107.38
信義區,黎順里,1406,1434107,1020,657,377,1291,1073.07,105.2
信義區,黎平里,2518,2658429,1056,724,404,1346,1139,107.88
信義區,黎忠里,1585,1503206,948,697,406,1164,923.79,97.41
信義區,松隆里,686,552816,806,572,362,1022,817.01,101.38
信義區,中坡里,1529,1515153,991,628,368,1135,2067.88,208.68
信義區,永春里,1595,1430615,897,636,366,1121,983.76,109.68
信義區,富臺里,1536,1769654,1152,773,397,1436,1470.2,127.61
信義區,長春里,1249,1084448,868,614,361,1081,927.62,106.84
信義區,五常里,1288,1384501,1075,675,381,1205,1834.81,170.69
信義區,四維里,1819,1979288,1088,696,384,1291,1527.19,140.35
信義區,雅祥里,1643,1769831,1077,687,400,1237,1621.06,150.49
信義區,興雅里,2064,2285570,1107,735,387,1365,1390.8,125.6
信義區,廣居里,2794,3565958,1276,817,416,1598,1614.59,126.51
信義區,中行里,2552,2315851,907,637,381,1130,944.24,104.05
信義區,四育里,1871,1745659,933,667,386,1231,913.23,97.88
信義區,國業里,2598,3257109,1254,781,430,1546,3075.06,245.28
信義區,松光里,1768,1803283,1020,708,398,1280,1096.84,107.54
信義區,大仁里,1292,1128086,873,619,357,1124,847.23,97.03
信義區,雙和里,2452,2538842,1035,717,411,1319,1068.32,103.18
信義區,黎安里,444,321445,724,530,325,881,707.15,97.68
信義區,三張里,3094,4116989,1331,699,389,1357,3619.03,271.98
信義區,其　他,218,245640,1127,552,300,1055,1994.69,177.02
信義區,合　計,73976,98598465,1333,715,392,1356,12455.44,934.5
其　他,其　他,448,505957,1129,675,380,1228,2588.88,229.23
,合　計,448,505957,1129,675,380,1228,2588.88,229.23
