"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2016-01-26T03:46:36.770Z",-20.5656,-177.5532,508.35,5.2,"mb",NA,39,5.012,1.29,"us","us20004ule","2016-01-26T04:04:44.316Z","119km E of Ndoi Island, Fiji","earthquake",10.9,7.1,0.039,217,"reviewed","us","us"
"2016-01-26T03:10:23.480Z",-5.3308,153.1682,43.85,5.8,"mwp",NA,36,1.511,1.12,"us","us20004uks","2016-01-26T21:01:29.000Z","96km S of Taron, Papua New Guinea","earthquake",6.7,5.8,0.041,82,"reviewed","us","us"
"2016-01-26T02:31:48.920Z",-17.0246,-177.0052,10,5.3,"mb",NA,133,4.773,0.96,"us","us20004ukm","2016-01-26T03:11:28.305Z","Fiji region","earthquake",10.3,1.9,0.048,147,"reviewed","us","us"
"2016-01-26T00:19:10.260Z",-32.6255,-71.8579,12.72,4.8,"mwr",NA,144,0.437,0.75,"us","us20004ujc","2016-01-26T16:07:38.292Z","50km NNW of Valparaiso, Chile","earthquake",3.9,4.3,0.047,44,"reviewed","us","us"
"2016-01-25T18:23:45.980Z",-22.4972,-179.5251,575.32,4.7,"mb",NA,121,5.247,0.96,"us","us10004h4h","2016-01-25T18:48:07.127Z","221km SSW of Ndoi Island, Fiji","earthquake",13.8,7.8,0.055,101,"reviewed","us","us"
"2016-01-25T18:05:54.390Z",19.7718,-76.0684,10,4.8,"mb",NA,29,0.914,1.51,"us","us10004h43","2016-01-26T17:46:48.040Z","33km SSW of El Cobre, Cuba","earthquake",5,1.9,0.029,376,"reviewed","us","us"
"2016-01-25T14:52:42.880Z",35.7724,-3.5812,10,4.9,"mb",NA,42,2.234,0.56,"us","us10004h2m","2016-01-25T15:46:13.871Z","66km NNE of Al Hoceima, Morocco","earthquake",7.2,1.8,0.038,221,"reviewed","us","us"
"2016-01-25T09:59:26.630Z",12.6264,-88.8323,40.46,4.6,"mb",NA,165,1.123,1.12,"us","us10004h1j","2016-01-25T11:37:46.819Z","78km SSW of Puerto El Triunfo, El Salvador","earthquake",8.3,12.6,0.052,108,"reviewed","us","us"
"2016-01-25T09:17:50.800Z",3.1858,128.3683,52.24,5.7,"mb",NA,24,2.598,1.09,"us","us10004h1a","2016-01-25T14:56:44.000Z","166km NNE of Tobelo, Indonesia","earthquake",7.2,6.1,0.057,109,"reviewed","us","us"
"2016-01-25T08:28:10.520Z",-6.1546,-76.6833,52.04,4.7,"mb",NA,138,4.248,0.89,"us","us10004h0r","2016-01-25T08:56:42.270Z","21km N of Tabalosos, Peru","earthquake",7.1,6.9,0.099,31,"reviewed","us","us"
"2016-01-25T08:25:06.170Z",35.6696,-3.6538,2.56,4.7,"mb",NA,205,2.214,0.87,"us","us10004h0q","2016-01-25T15:46:37.727Z","53km NNE of Al Hoceima, Morocco","earthquake",9.4,5.9,0.09,38,"reviewed","us","us"
"2016-01-25T06:10:42.290Z",35.5825,-3.8673,10,5.3,"mb",NA,68,2.09,1.13,"us","us10004gzj","2016-01-25T09:12:58.429Z","38km N of Al Hoceima, Morocco","earthquake",7.9,1.9,0.035,269,"reviewed","us","us"
