0111	0111							
0112	0112							
0113	0113							
0114	0114							
0115	0115							
0116	0116							
0117	0117							
0118	0118							
0119	0119							
0131	0121							
0132	0122							
0133	0123							
0134	0124							
0139	0129							
0121	0131							
0122	0132							
0124	0133							
0123	0134,9009						
0129	0139							
0211	0211							
0212	0212							
0221	0221							
0222	0222							
0223	0223							
0311	0311							
0312	0312							
0313	0313							
0314	0314							
0321	0321							
0322	0322							
0329	0329,9009						
0601	0411							
0602	0412							
0500	0420							
0701	0510							
0702	0510							
0810	0521							
0830	0522							
0840	0523							
0820	0529							
0891	0529							
0899	0529							
0911	0611							
0912	0612							
0921	0621							
0922	0622							
0990	0690							
1110	0810							
1120	0820							
1131	0831							
1132	0832							
1133	0833							
1134	0834							
1141	0841							
1142	0842							
1151	0851							
1152	0852							
1153	0853							
1161	0861							
1169	0869							
1171	0871							
1172	0872							
1173	0873							
1174	0874							
1179	0879							
1175	0875							
1181	0881							
1182	0882							
1183	0883							
1191	0891							
1192	0892							
1193	0893							
1194	0894							
1195	0895							
1199	0899							
1200	0900							
1311	1011							
1312	1012							
1313	1013							
1314	1014							
1319	1019							
1321	1021							
1322	1022							
1323	1023							
1324	1024							
1329	1029							
1330	1030							
1341	1041							
1342	1042							
1343	1043							
1350	1050							
1390	1090							
1411	1111							
1412	1111							
1413	1112							
1421	1121							
1423	1121							
1422	1122							
1430	1130							
1451	1141							
1452	1142							
1459	1149							
1491	1191							
1499	1199							
1501	1201							
1440	1202							
1502	1202							
2402	1202							
2504	1202							
1509	1203,1209						
2505	1203							
1601	1301							
1602	1302							
1603	1303							
1604	1304							
1605	1305							
1606	1305							
1609	1309							
1711	1411							
1712	1412							
1713	1412							
1719	1419							
1720	1420,2591						
1730	1430							
1810	1510							
1821	1521,1591						
1822	1521							
1823	1522							
1830	1530,1591						
1840	1540							
1890	1599							
1920	1610							
1910	1620							
1930	1630							
1940	1690							
2111	1711							
2112	1712							
2114	1713							
2120	1720							
2131	1731							
2132	1732							
2113	1790							
2190	1790							
2210	1810							
2221	1821							
2222	1822							
2223	1823							
2224	1824							
2225	1825							
2226	1826							
2230	1830							
2240	1840							
2290	1890							
2310	1910							
2390	1990							
2401	2001							
2403	2002							
2409	2009							
