"國民所得統計常用資料(2008SNA)-年 依 期間, 指標 與 種類"

" ","期中人口(人)"," "," 平均匯率(元/美元)"," "," 經濟成長(%)"," "," 國內生產毛額GDP(名目值，百萬元)"," "," 國內生產毛額GDP(名目值，百萬美元)"," "," 平均每人GDP(名目值，元)"," "," 平均每人GDP(名目值，美元)"," "," 國民所得毛額GNI(名目值，百萬元)"," "," 國民所得毛額GNI(名目值，百萬美元)"," "," 平均每人GNI(名目值，元)"," "," 平均每人GNI(名目值，美元)"," "," 國民所得(名目值，百萬元)"," "," 國民所得(名目值，百萬美元)"," "," 平均每人所得(名目值，元)"," "," 平均每人所得(名目值，美元)"," "
" ","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)"
"1995",21267653,0.86,26.49,--,6.50,--,7396650,9.02,279224,8.90,347789,8.10,13129,7.97,7507569,8.93,283411,8.81,353004,8.01,13326,7.89,6719565,8.27,253664,8.15,315952,7.35,11927,7.23
"1996",21441432,0.82,27.46,--,6.18,--,8036590,8.65,292665,4.81,374816,7.77,13650,3.97,8146092,8.51,296653,4.67,379923,7.63,13836,3.83,7300416,8.64,265856,4.81,340482,7.76,12399,3.96
"1997",21634124,0.90,28.70,--,6.11,--,8717241,8.47,303737,3.78,402939,7.50,14040,2.86,8806852,8.11,306859,3.44,407082,7.15,14184,2.52,7907557,8.32,275525,3.64,365513,7.35,12736,2.72
"1998",21835703,0.93,33.46,--,4.21,--,9381141,7.62,280369,-7.69,429624,6.62,12840,-8.55,9449692,7.30,282418,-7.96,432763,6.31,12934,-8.81,8396774,6.19,250950,-8.92,384543,5.21,11493,-9.76
"1999",22010489,0.80,32.27,--,6.72,--,9815595,4.63,304171,8.49,445951,3.80,13819,7.62,9906113,4.83,306976,8.70,450063,4.00,13947,7.83,8770083,4.45,271772,8.30,398450,3.62,12347,7.43
"2000",22184530,0.79,31.23,--,6.42,--,10351260,5.46,331452,8.97,466598,4.63,14941,8.12,10490818,5.90,335921,9.43,472889,5.07,15142,8.57,9269557,5.70,296816,9.22,417839,4.87,13379,8.36
"2001",22341120,0.71,33.81,--,-1.26,--,10158209,-1.87,300450,-9.35,454687,-2.55,13448,-9.99,10350233,-1.34,306129,-8.87,463282,-2.03,13703,-9.50,9015899,-2.74,266664,-10.16,403556,-3.42,11936,-10.79
"2002",22463172,0.55,34.58,--,5.57,--,10680883,5.15,308875,2.80,475484,4.57,13750,2.25,10923385,5.54,315887,3.19,486280,4.96,14062,2.62,9504407,5.42,274853,3.07,423111,4.85,12236,2.51
"2003",22562663,0.44,34.42,--,4.12,--,10965866,2.67,318590,3.15,486018,2.22,14120,2.69,11294739,3.40,328145,3.88,500594,2.94,14544,3.43,9885093,4.01,287190,4.49,438117,3.55,12729,4.03
"2004",22646836,0.37,33.43,--,6.51,--,11649645,6.24,348479,9.38,514405,5.84,15388,8.98,12021744,6.44,359609,9.59,530835,6.04,15879,9.18,10467622,5.89,313121,9.03,462211,5.50,13826,8.62
"2005",22729753,0.37,32.18,--,5.42,--,12092254,3.80,375769,7.83,532001,3.42,16532,7.43,12383120,3.01,384808,7.01,544798,2.63,16930,6.62,10732710,2.53,333521,6.52,472188,2.16,14673,6.13
"2006",22823455,0.41,32.53,--,5.62,--,12640803,4.54,388589,3.41,553851,4.11,17026,2.99,12952502,4.60,398171,3.47,567508,4.17,17446,3.05,11117367,3.58,341757,2.47,487103,3.16,14974,2.05
"2007",22917444,0.41,32.84,--,6.52,--,13407062,6.06,408254,5.06,585016,5.63,17814,4.63,13739828,6.08,418387,5.08,599536,5.64,18256,4.64,11590959,4.26,352952,3.28,505770,3.83,15401,2.85
"2008",22997696,0.35,31.54,--,0.70,--,13150950,-1.91,416961,2.13,571838,-2.25,18131,1.78,13465596,-2.00,426937,2.04,585519,-2.34,18564,1.69,11161869,-3.70,353896,0.27,485347,-4.04,15388,-0.08
"2009",23078402,0.35,33.06,--,-1.57,--,12961656,-1.44,392065,-5.97,561636,-1.78,16988,-6.30,13375650,-0.67,404587,-5.23,579574,-1.02,17531,-5.56,10985329,-1.58,332285,-6.11,476000,-1.93,14398,-6.43
"2010",23140948,0.27,31.65,--,10.63,--,14119213,8.93,446105,13.78,610140,8.64,19278,13.48,14548852,8.77,459679,13.62,628706,8.48,19864,13.31,12194428,11.01,385290,15.95,526963,10.71,16650,15.64
"2011",23193518,0.23,29.47,--,3.80,--,14312200,1.37,485653,8.87,617078,1.14,20939,8.62,14700572,1.04,498832,8.52,633822,0.81,21507,8.27,12290671,0.79,417057,8.24,529918,0.56,17982,8.00
"2012",23270367,0.33,29.62,--,2.06,--,14686917,2.62,495845,2.10,631142,2.28,21308,1.76,15141108,3.00,511179,2.48,650660,2.66,21967,2.14,12493108,1.65,421779,1.13,536868,1.31,18125,0.80
"2013",23344670,0.32,29.77,--,2.20,--,15230739,3.70,511614,3.18,652429,3.37,21916,2.85,15654588,3.39,525851,2.87,670585,3.06,22526,2.54,13115430,4.98,440559,4.45,561817,4.65,18872,4.12
"2014",23403635,0.25,30.37,--,3.92,--,16097400,5.69,530043,3.60,687816,5.42,22648,3.34,16566844,5.83,545500,3.74,707875,5.56,23308,3.47,13901100,5.99,457725,3.90,593972,5.72,19558,3.64
"2015",23462914,0.25,31.91,--,0.75,--,16706206,3.78,523567,-1.22,712091,3.53,22317,-1.46,17209226,3.88,539336,-1.13,733534,3.62,22989,-1.37,14558395,4.73,456323,-0.31,620546,4.47,19451,-0.55

" "
"(http://www.stat.gov.tw/lp.asp?ctNode=2404&CtUnit=1088&BaseDSD=7) "
"more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=17) 國情統計通報 "
"2015年為初步統計數 "
" "

